REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
demo.taint.RuntimeExec	setCommand(java.lang.String[])	command	demo.taint.RuntimeExec	SOURCE
demo.taint.RuntimeExec	setCommand(java.lang.String[])	this	demo.taint.RuntimeExec	SOURCE
demo.taint.RuntimeExec	setProcessDirectory(java.io.File)	processDirectory	demo.taint.RuntimeExec	SOURCE
demo.taint.RuntimeExec	setProcessDirectory(java.io.File)	this	demo.taint.RuntimeExec	SOURCE
demo.taint.RuntimeExec	setProcessProperties(java.lang.String[])	processProperties	demo.taint.RuntimeExec	SOURCE
demo.taint.RuntimeExec	setProcessProperties(java.lang.String[])	this	demo.taint.RuntimeExec	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	defaultProperties	demo.taint.RuntimeExec	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	defaultProperties	demo.taint.RuntimeExec	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	defaultProperties	demo.taint.RuntimeExec	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	length	Array	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	command	demo.taint.RuntimeExec	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	command	demo.taint.RuntimeExec	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	VAR_OPEN	demo.taint.RuntimeExec	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	VAR_CLOSE	demo.taint.RuntimeExec	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	DIRECTIVE_SPLIT	demo.taint.RuntimeExec	SOURCE
demo.taint.RuntimeExec	getCommand(java.util.Map)	DIRECTIVE_SPLIT	demo.taint.RuntimeExec	SOURCE
demo.taint.RuntimeExec	execute(java.util.Map)	command	demo.taint.RuntimeExec	SOURCE
demo.taint.RuntimeExec	execute(java.util.Map)	processProperties	demo.taint.RuntimeExec	SOURCE
demo.taint.RuntimeExec	execute(java.util.Map)	processDirectory	demo.taint.RuntimeExec	SOURCE
